16
>> Train dataset :  data/KsponSpeech/KsponSpeech_train.json
>> Test dataset :  ['data/KsponSpeech/KsponSpeech_eval_clean.json']
Seq2Seq(
  (encoder): EncoderRNN(
    (conv): MaskConv(
      (seq_module): Sequential(
        (0): Conv2d(1, 32, kernel_size=(41, 11), stride=(2, 2), padding=(20, 5))
        (1): BatchNorm2d(32, eps=1e-05, momentum=0.1, affine=True, track_running_stats=True)
        (2): Hardtanh(min_val=0, max_val=20, inplace=True)
        (3): Conv2d(32, 32, kernel_size=(21, 11), stride=(2, 1), padding=(10, 5))
        (4): BatchNorm2d(32, eps=1e-05, momentum=0.1, affine=True, track_running_stats=True)
        (5): Hardtanh(min_val=0, max_val=20, inplace=True)
      )
    )
    (rnn): LSTM(1312, 512, num_layers=3, dropout=0.3, bidirectional=True)
  )
  (decoder): DecoderRNN(
    (rnn): LSTM(1536, 512, num_layers=2, batch_first=True, dropout=0.3)
    (embedding): Embedding(2003, 512)
    (input_dropout): Dropout(p=0.3, inplace=False)
    (attention): Attention(
      (conv): Conv1d(1, 512, kernel_size=(3,), stride=(1,), padding=(1,))
      (W): Linear(in_features=512, out_features=512, bias=False)
      (V): Linear(in_features=1024, out_features=512, bias=False)
      (fc): Linear(in_features=512, out_features=1, bias=True)
      (tanh): Tanh()
      (softmax): Softmax(dim=-1)
    )
    (fc): Linear(in_features=1536, out_features=2003, bias=True)
  )
)
Number of parameters: 31523060
Epoch: [1][1/38750]	Loss 7.6025	Cer 299.5110
Epoch: [1][2/38750]	Loss 7.3379	Cer 575.4513
Epoch: [1][3/38750]	Loss 7.0260	Cer 386.4151
Epoch: [1][4/38750]	Loss 6.4118	Cer 670.5570
Epoch: [1][5/38750]	Loss 5.0019	Cer 377.8234
Epoch: [1][6/38750]	Loss 4.3983	Cer 257.1429
Epoch: [1][7/38750]	Loss 3.3004	Cer 322.2222
Epoch: [1][8/38750]	Loss 3.1632	Cer 339.7849
Epoch: [1][9/38750]	Loss 3.2825	Cer 291.8919
Epoch: [1][10/38750]	Loss 1.7072	Cer 499.4924
Epoch: [1][11/38750]	Loss 1.8919	Cer 440.8000
Epoch: [1][12/38750]	Loss 1.7642	Cer 376.0714
Epoch: [1][13/38750]	Loss 1.8612	Cer 284.0517
Epoch: [1][14/38750]	Loss 1.9201	Cer 270.1389
Epoch: [1][15/38750]	Loss 2.3843	Cer 188.4615
Epoch: [1][16/38750]	Loss 1.9251	Cer 264.8438
Epoch: [1][17/38750]	Loss 1.5982	Cer 329.6178
Epoch: [1][18/38750]	Loss 2.3955	Cer 189.7839
Epoch: [1][19/38750]	Loss 1.7544	Cer 277.4908
Epoch: [1][20/38750]	Loss 1.3461	Cer 407.4713
Epoch: [1][21/38750]	Loss 1.4215	Cer 371.8009
Epoch: [1][22/38750]	Loss 1.4180	Cer 351.7510
Epoch: [1][23/38750]	Loss 1.9940	Cer 242.1053
Epoch: [1][24/38750]	Loss 2.3084	Cer 195.9350
Epoch: [1][25/38750]	Loss 2.2912	Cer 198.7952
Epoch: [1][26/38750]	Loss 2.1912	Cer 206.8376
Epoch: [1][27/38750]	Loss 2.7463	Cer 162.7451
Epoch: [1][28/38750]	Loss 1.3174	Cer 398.1308
Epoch: [1][29/38750]	Loss 1.6123	Cer 289.1026
Epoch: [1][30/38750]	Loss 1.1830	Cer 446.3942
Epoch: [1][31/38750]	Loss 1.1840	Cer 456.3089
Epoch: [1][32/38750]	Loss 1.2678	Cer 399.1176
Epoch: [1][33/38750]	Loss 1.9689	Cer 236.0531
Epoch: [1][34/38750]	Loss 1.6529	Cer 300.5731
Epoch: [1][35/38750]	Loss 1.1359	Cer 471.8336
Epoch: [1][36/38750]	Loss 2.1824	Cer 197.0270
Epoch: [1][37/38750]	Loss 1.6999	Cer 280.1980
Epoch: [1][38/38750]	Loss 1.0014	Cer 542.1717
Epoch: [1][39/38750]	Loss 1.5580	Cer 296.5147
Epoch: [1][40/38750]	Loss 2.1044	Cer 209.0186
Epoch: [1][41/38750]	Loss 1.8350	Cer 244.2748
Epoch: [1][42/38750]	Loss 1.5595	Cer 310.1299
Epoch: [1][43/38750]	Loss 1.0466	Cer 525.2174
Epoch: [1][44/38750]	Loss 0.9935	Cer 561.8919
Epoch: [1][45/38750]	Loss 1.8321	Cer 238.7841
Epoch: [1][46/38750]	Loss 1.6198	Cer 267.9012
Epoch: [1][47/38750]	Loss 1.3102	Cer 391.2181
Epoch: [1][48/38750]	Loss 1.3761	Cer 346.1765
Epoch: [1][49/38750]	Loss 1.6084	Cer 325.4499
Epoch: [1][50/38750]	Loss 1.4214	Cer 343.4146
Epoch: [1][51/38750]	Loss 1.1977	Cer 439.4737
Epoch: [1][52/38750]	Loss 1.7175	Cer 268.5976
Epoch: [1][53/38750]	Loss 1.6303	Cer 289.1566
Epoch: [1][54/38750]	Loss 1.1637	Cer 422.6667
Epoch: [1][55/38750]	Loss 1.7371	Cer 264.0860
Epoch: [1][56/38750]	Loss 1.3623	Cer 360.5263
Epoch: [1][57/38750]	Loss 1.8248	Cer 257.1765
Epoch: [1][58/38750]	Loss 1.4825	Cer 302.1277
Epoch: [1][59/38750]	Loss 1.5351	Cer 308.1126
Epoch: [1][60/38750]	Loss 0.9067	Cer 595.0000
